row	column	size
1	1	1328.000000
2	1	1322.000000
3	1	1280.000000
4	1	1474.000000
5	1	1405.000000
6	1	1352.000000
7	1	1362.000000
8	1	1711.000000
9	1	1385.000000
10	1	1254.000000
11	1	1212.000000
12	1	1583.000000
13	1	1222.000000
14	1	1193.000000
15	1	1140.000000
16	1	1356.000000
17	1	1201.000000
18	1	1120.000000
19	1	1155.000000
20	1	0.000000
21	1	1191.000000
22	1	1109.000000
23	1	1109.000000
24	1	1241.000000
25	1	1108.000000
26	1	1077.000000
27	1	1087.000000
28	1	1192.000000
29	1	1097.000000
30	1	1070.000000
31	1	1067.000000
32	1	1401.000000
1	2	1293.000000
2	2	1122.000000
3	2	1092.000000
4	2	1312.000000
5	2	1179.000000
6	2	1181.000000
7	2	1183.000000
8	2	1482.000000
9	2	1283.000000
10	2	1221.000000
11	2	1210.000000
12	2	1452.000000
13	2	1169.000000
14	2	1148.000000
15	2	1125.000000
16	2	1370.000000
17	2	1182.000000
18	2	1140.000000
19	2	1155.000000
20	2	0.000000
21	2	1180.000000
22	2	1078.000000
23	2	1083.000000
24	2	1229.000000
25	2	1102.000000
26	2	1048.000000
27	2	1027.000000
28	2	1173.000000
29	2	1067.000000
30	2	1055.000000
31	2	1038.000000
32	2	1259.000000
1	3	1410.000000
2	3	1087.000000
3	3	1054.000000
4	3	1082.000000
5	3	1276.000000
6	3	1156.000000
7	3	1207.000000
8	3	1234.000000
9	3	1434.000000
10	3	1228.000000
11	3	1206.000000
12	3	1197.000000
13	3	1417.000000
14	3	1203.000000
15	3	1166.000000
16	3	1203.000000
17	3	0.000000
18	3	1197.000000
19	3	1146.000000
20	3	1169.000000
21	3	1330.000000
22	3	1121.000000
23	3	1097.000000
24	3	1099.000000
25	3	1195.000000
26	3	1098.000000
27	3	1074.000000
28	3	1062.000000
29	3	1159.000000
30	3	1089.000000
31	3	1117.000000
32	3	1148.000000
1	4	1429.000000
2	4	1059.000000
3	4	1038.000000
4	4	1067.000000
5	4	1206.000000
6	4	1162.000000
7	4	1205.000000
8	4	1240.000000
9	4	1458.000000
10	4	1219.000000
11	4	1224.000000
12	4	1189.000000
13	4	1405.000000
14	4	1152.000000
15	4	1151.000000
16	4	1180.000000
17	4	0.000000
18	4	1179.000000
19	4	1130.000000
20	4	1115.000000
21	4	1304.000000
22	4	1095.000000
23	4	1076.000000
24	4	1073.000000
25	4	1205.000000
26	4	1077.000000
27	4	1080.000000
28	4	1070.000000
29	4	1189.000000
30	4	1072.000000
31	4	1113.000000
32	4	1163.000000
1	5	1184.000000
2	5	1035.000000
3	5	992.000000
4	5	1196.000000
5	5	1098.000000
6	5	1153.000000
7	5	1177.000000
8	5	1191.000000
9	5	798.000000
10	5	1168.000000
11	5	1128.000000
12	5	1149.000000
13	5	621.000000
14	5	1112.000000
15	5	1091.000000
16	5	1037.000000
17	5	1091.000000
18	5	1057.000000
19	5	1056.000000
20	5	1048.000000
21	5	1063.000000
22	5	1025.000000
23	5	1035.000000
24	5	956.000000
25	5	1023.000000
26	5	1015.000000
27	5	997.000000
28	5	992.000000
29	5	1063.000000
30	5	1013.000000
31	5	1061.000000
32	5	1300.000000
1	6	1240.000000
2	6	1016.000000
3	6	1017.000000
4	6	1267.000000
5	6	1147.000000
6	6	1137.000000
7	6	1145.000000
8	6	1131.000000
9	6	765.000000
10	6	1136.000000
11	6	1118.000000
12	6	1155.000000
13	6	615.000000
14	6	1122.000000
15	6	1069.000000
16	6	1068.000000
17	6	1083.000000
18	6	1071.000000
19	6	1045.000000
20	6	1050.000000
21	6	1034.000000
22	6	1025.000000
23	6	1006.000000
24	6	976.000000
25	6	1031.000000
26	6	1009.000000
27	6	993.000000
28	6	1015.000000
29	6	1032.000000
30	6	1016.000000
31	6	1076.000000
32	6	1339.000000
1	7	1423.000000
2	7	1082.000000
3	7	1063.000000
4	7	1091.000000
5	7	1082.000000
6	7	1214.000000
7	7	1196.000000
8	7	1168.000000
9	7	1143.000000
10	7	775.000000
11	7	787.000000
12	7	755.000000
13	7	1106.000000
14	7	593.000000
15	7	609.000000
16	7	598.000000
17	7	1095.000000
18	7	1060.000000
19	7	1048.000000
20	7	1027.000000
21	7	990.000000
22	7	1034.000000
23	7	1042.000000
24	7	1057.000000
25	7	1016.000000
26	7	1019.000000
27	7	976.000000
28	7	991.000000
29	7	1193.000000
30	7	1086.000000
31	7	1112.000000
32	7	1232.000000
1	8	1448.000000
2	8	1094.000000
3	8	1089.000000
4	8	1115.000000
5	8	1090.000000
6	8	1174.000000
7	8	1150.000000
8	8	1152.000000
9	8	1138.000000
10	8	784.000000
11	8	757.000000
12	8	773.000000
13	8	1121.000000
14	8	625.000000
15	8	575.000000
16	8	567.000000
17	8	1086.000000
18	8	1068.000000
19	8	1030.000000
20	8	1034.000000
21	8	992.000000
22	8	1071.000000
23	8	1059.000000
24	8	1047.000000
25	8	1028.000000
26	8	1025.000000
27	8	995.000000
28	8	997.000000
29	8	1204.000000
30	8	1075.000000
31	8	1115.000000
32	8	1226.000000
1	9	1254.000000
2	9	1091.000000
3	9	1079.000000
4	9	1237.000000
5	9	1156.000000
6	9	1090.000000
7	9	1081.000000
8	9	1066.000000
9	9	734.000000
10	9	1120.000000
11	9	1103.000000
12	9	1155.000000
13	9	569.000000
14	9	1111.000000
15	9	1114.000000
16	9	1063.000000
17	9	1055.000000
18	9	1062.000000
19	9	1070.000000
20	9	1071.000000
21	9	1077.000000
22	9	1052.000000
23	9	1038.000000
24	9	1001.000000
25	9	1036.000000
26	9	1022.000000
27	9	1020.000000
28	9	1011.000000
29	9	1075.000000
30	9	1017.000000
31	9	1073.000000
32	9	1362.000000
1	10	1262.000000
2	10	1095.000000
3	10	1072.000000
4	10	1262.000000
5	10	1180.000000
6	10	1084.000000
7	10	1067.000000
8	10	1062.000000
9	10	710.000000
10	10	1128.000000
11	10	1090.000000
12	10	1151.000000
13	10	585.000000
14	10	1118.000000
15	10	1113.000000
16	10	1065.000000
17	10	1082.000000
18	10	1078.000000
19	10	1063.000000
20	10	1094.000000
21	10	1083.000000
22	10	1065.000000
23	10	1037.000000
24	10	987.000000
25	10	1028.000000
26	10	1037.000000
27	10	1025.000000
28	10	1018.000000
29	10	1050.000000
30	10	1033.000000
31	10	1066.000000
32	10	1371.000000
1	11	1498.000000
2	11	1145.000000
3	11	1150.000000
4	11	1193.000000
5	11	1080.000000
6	11	1168.000000
7	11	1109.000000
8	11	1140.000000
9	11	1125.000000
10	11	761.000000
11	11	760.000000
12	11	727.000000
13	11	1114.000000
14	11	608.000000
15	11	597.000000
16	11	583.000000
17	11	1132.000000
18	11	1082.000000
19	11	1077.000000
20	11	1064.000000
21	11	1032.000000
22	11	1077.000000
23	11	1054.000000
24	11	1073.000000
25	11	1037.000000
26	11	1040.000000
27	11	1001.000000
28	11	1014.000000
29	11	1205.000000
30	11	1093.000000
31	11	1137.000000
32	11	1219.000000
1	12	1491.000000
2	12	1203.000000
3	12	1169.000000
4	12	1172.000000
5	12	1042.000000
6	12	1148.000000
7	12	1140.000000
8	12	1141.000000
9	12	1107.000000
10	12	762.000000
11	12	754.000000
12	12	765.000000
13	12	1127.000000
14	12	635.000000
15	12	601.000000
16	12	627.000000
17	12	1125.000000
18	12	1090.000000
19	12	1043.000000
20	12	1065.000000
21	12	1022.000000
22	12	1073.000000
23	12	1053.000000
24	12	1048.000000
25	12	1016.000000
26	12	1027.000000
27	12	1008.000000
28	12	1009.000000
29	12	1211.000000
30	12	1105.000000
31	12	1155.000000
32	12	1244.000000
1	13	1255.000000
2	13	1137.000000
3	13	1098.000000
4	13	1266.000000
5	13	1148.000000
6	13	1041.000000
7	13	1084.000000
8	13	1060.000000
9	13	752.000000
10	13	1118.000000
11	13	1131.000000
12	13	1178.000000
13	13	681.000000
