row	column	size
1	1	1245.000000
2	1	1173.000000
3	1	1214.000000
4	1	1482.000000
5	1	1332.000000
6	1	1310.000000
7	1	1333.000000
8	1	1593.000000
9	1	1443.000000
10	1	1412.000000
11	1	1372.000000
12	1	1664.000000
13	1	1471.000000
14	1	1441.000000
15	1	1424.000000
16	1	1754.000000
17	1	1471.000000
18	1	1442.000000
19	1	1361.000000
20	1	0.000000
21	1	1353.000000
22	1	1246.000000
23	1	1208.000000
24	1	1555.000000
25	1	1249.000000
26	1	1240.000000
27	1	1185.000000
28	1	1416.000000
29	1	1167.000000
30	1	1138.000000
31	1	1142.000000
32	1	1455.000000
1	2	1122.000000
2	2	1126.000000
3	2	1318.000000
4	2	1081.000000
5	2	1108.000000
6	2	1193.000000
7	2	1295.000000
8	2	1169.000000
9	2	1240.000000
10	2	1267.000000
11	2	1459.000000
12	2	1234.000000
13	2	1256.000000
14	2	1319.000000
15	2	1544.000000
16	2	1326.000000
17	2	1343.000000
18	2	1429.000000
19	2	0.000000
20	2	1386.000000
21	2	1296.000000
22	2	1308.000000
23	2	1557.000000
24	2	1210.000000
25	2	1151.000000
26	2	1209.000000
27	2	1416.000000
28	2	1111.000000
29	2	1074.000000
30	2	1135.000000
31	2	1357.000000
32	2	1104.000000
1	3	1376.000000
2	3	1047.000000
3	3	1086.000000
4	3	1090.000000
5	3	1271.000000
6	3	1136.000000
7	3	1176.000000
8	3	1167.000000
9	3	1363.000000
10	3	1258.000000
11	3	1252.000000
12	3	1288.000000
13	3	1455.000000
14	3	1303.000000
15	3	1329.000000
16	3	1387.000000
17	3	0.000000
18	3	1403.000000
19	3	1371.000000
20	3	1326.000000
21	3	1491.000000
22	3	1251.000000
23	3	1235.000000
24	3	1231.000000
25	3	1411.000000
26	3	1186.000000
27	3	1156.000000
28	3	1152.000000
29	3	1368.000000
30	3	1180.000000
31	3	1143.000000
32	3	1173.000000
1	4	1157.000000
2	4	1207.000000
3	4	1027.000000
4	4	1066.000000
5	4	1058.000000
6	4	1303.000000
7	4	1179.000000
8	4	1208.000000
9	4	1254.000000
10	4	1424.000000
11	4	1248.000000
12	4	1263.000000
13	4	1299.000000
14	4	1481.000000
15	4	1292.000000
16	4	1327.000000
17	4	1341.000000
18	4	0.000000
19	4	1328.000000
20	4	1274.000000
21	4	1246.000000
22	4	1480.000000
23	4	1212.000000
24	4	1219.000000
25	4	1193.000000
26	4	1400.000000
27	4	1171.000000
28	4	1166.000000
29	4	1147.000000
30	4	1390.000000
31	4	1161.000000
32	4	1227.000000
1	5	1169.000000
2	5	981.000000
3	5	1011.000000
4	5	1207.000000
5	5	1098.000000
6	5	1119.000000
7	5	1166.000000
8	5	1200.000000
9	5	891.000000
10	5	1250.000000
11	5	1243.000000
12	5	1279.000000
13	5	782.000000
14	5	1266.000000
15	5	1251.000000
16	5	1206.000000
17	5	1201.000000
18	5	1240.000000
19	5	1227.000000
20	5	1235.000000
21	5	1202.000000
22	5	1170.000000
23	5	1159.000000
24	5	1134.000000
