row	column	size
1	1	1319.000000
2	1	1315.000000
3	1	1288.000000
4	1	1473.000000
5	1	1398.000000
6	1	1359.000000
7	1	1358.000000
8	1	1694.000000
9	1	1373.000000
10	1	1280.000000
11	1	1224.000000
12	1	1572.000000
13	1	1221.000000
14	1	1170.000000
15	1	1146.000000
16	1	1369.000000
17	1	1190.000000
18	1	1146.000000
19	1	1160.000000
20	1	0.000000
21	1	1193.000000
22	1	1105.000000
23	1	1094.000000
24	1	1216.000000
25	1	1116.000000
26	1	1050.000000
27	1	1066.000000
28	1	1178.000000
29	1	1082.000000
30	1	1068.000000
31	1	1078.000000
32	1	1403.000000
1	2	1276.000000
2	2	1105.000000
3	2	1063.000000
4	2	1299.000000
5	2	1159.000000
6	2	1184.000000
7	2	1192.000000
8	2	1475.000000
9	2	1284.000000
10	2	1242.000000
11	2	1195.000000
12	2	1467.000000
13	2	1164.000000
14	2	1137.000000
15	2	1129.000000
16	2	1357.000000
17	2	1155.000000
18	2	1131.000000
19	2	1153.000000
20	2	0.000000
21	2	1172.000000
22	2	1074.000000
23	2	1061.000000
24	2	1217.000000
25	2	1108.000000
26	2	1049.000000
27	2	1022.000000
28	2	1137.000000
29	2	1068.000000
30	2	1031.000000
31	2	1040.000000
32	2	1263.000000
1	3	1407.000000
2	3	1074.000000
3	3	1042.000000
4	3	1071.000000
5	3	1269.000000
6	3	1150.000000
7	3	1218.000000
8	3	1230.000000
9	3	1439.000000
10	3	1237.000000
11	3	1201.000000
12	3	1194.000000
13	3	1422.000000
14	3	1184.000000
15	3	1182.000000
16	3	1180.000000
17	3	0.000000
18	3	1204.000000
19	3	1138.000000
20	3	1168.000000
21	3	1312.000000
22	3	1112.000000
23	3	1077.000000
24	3	1098.000000
25	3	1180.000000
26	3	1090.000000
27	3	1062.000000
28	3	1062.000000
29	3	1147.000000
30	3	1072.000000
31	3	1105.000000
32	3	1131.000000
1	4	1400.000000
2	4	1029.000000
3	4	1034.000000
4	4	1064.000000
5	4	1216.000000
6	4	1169.000000
7	4	1202.000000
8	4	1225.000000
9	4	1420.000000
10	4	1217.000000
11	4	1198.000000
12	4	1197.000000
13	4	1389.000000
14	4	1163.000000
15	4	1158.000000
16	4	1185.000000
17	4	0.000000
18	4	1169.000000
19	4	1139.000000
20	4	1116.000000
21	4	1265.000000
22	4	1071.000000
23	4	1065.000000
24	4	1054.000000
25	4	1172.000000
26	4	1058.000000
27	4	1059.000000
28	4	1066.000000
29	4	1185.000000
30	4	1060.000000
31	4	1099.000000
32	4	1171.000000
1	5	1173.000000
2	5	1014.000000
3	5	1002.000000
4	5	1187.000000
5	5	1089.000000
6	5	1149.000000
7	5	1180.000000
8	5	1192.000000
9	5	780.000000
10	5	1145.000000
11	5	1155.000000
12	5	1125.000000
13	5	617.000000
14	5	1102.000000
15	5	1094.000000
16	5	1032.000000
17	5	1079.000000
18	5	1072.000000
19	5	1041.000000
