row	column	size
1	1	1238.000000
2	1	1176.000000
3	1	1194.000000
4	1	1473.000000
5	1	1326.000000
6	1	1309.000000
7	1	1334.000000
8	1	1606.000000
9	1	1433.000000
10	1	1412.000000
11	1	1394.000000
12	1	1670.000000
13	1	1502.000000
14	1	1446.000000
15	1	1443.000000
16	1	1746.000000
17	1	1466.000000
18	1	1429.000000
19	1	1355.000000
20	1	0.000000
21	1	1348.000000
22	1	1236.000000
23	1	1206.000000
24	1	1530.000000
25	1	1245.000000
26	1	1239.000000
27	1	1188.000000
28	1	1420.000000
29	1	1183.000000
30	1	1127.000000
31	1	1144.000000
32	1	1432.000000
1	2	1131.000000
2	2	1109.000000
3	2	1309.000000
4	2	1082.000000
5	2	1109.000000
6	2	1167.000000
7	2	1284.000000
8	2	1170.000000
9	2	1221.000000
10	2	1270.000000
11	2	1461.000000
12	2	1256.000000
13	2	1298.000000
14	2	1323.000000
15	2	1551.000000
16	2	1336.000000
17	2	1344.000000
18	2	1433.000000
19	2	0.000000
20	2	1391.000000
21	2	1315.000000
22	2	1295.000000
23	2	1548.000000
24	2	1199.000000
25	2	1160.000000
26	2	1204.000000
27	2	1430.000000
28	2	1129.000000
29	2	1064.000000
30	2	1128.000000
31	2	1353.000000
32	2	1096.000000
1	3	1389.000000
2	3	1037.000000
3	3	1086.000000
4	3	1089.000000
5	3	1259.000000
6	3	1124.000000
7	3	1152.000000
8	3	1185.000000
9	3	1364.000000
10	3	1260.000000
11	3	1265.000000
12	3	1280.000000
13	3	1467.000000
14	3	1296.000000
15	3	1331.000000
16	3	1377.000000
17	3	0.000000
18	3	1400.000000
19	3	1363.000000
20	3	1319.000000
21	3	1505.000000
22	3	1224.000000
23	3	1228.000000
24	3	1209.000000
25	3	1409.000000
26	3	1172.000000
27	3	1147.000000
28	3	1159.000000
29	3	1369.000000
30	3	1177.000000
31	3	1154.000000
32	3	1169.000000
1	4	1160.000000
2	4	1186.000000
3	4	1024.000000
4	4	1092.000000
5	4	1065.000000
6	4	1262.000000
7	4	1171.000000
8	4	1219.000000
9	4	1272.000000
10	4	1441.000000
11	4	1271.000000
12	4	1276.000000
13	4	1280.000000
14	4	1490.000000
15	4	1302.000000
16	4	1307.000000
17	4	1341.000000
18	4	0.000000
19	4	1310.000000
20	4	1284.000000
21	4	1232.000000
22	4	1439.000000
23	4	1204.000000
24	4	1226.000000
25	4	1206.000000
26	4	1408.000000
27	4	1183.000000
28	4	1172.000000
29	4	1152.000000
30	4	1393.000000
31	4	1167.000000
32	4	1213.000000
1	5	1136.000000
2	5	989.000000
3	5	1005.000000
4	5	1196.000000
5	5	1102.000000
6	5	1126.000000
7	5	1162.000000
8	5	1224.000000
9	5	894.000000
10	5	1238.000000
11	5	1241.000000
12	5	1261.000000
13	5	765.000000
14	5	1263.000000
15	5	1238.000000
16	5	1208.000000
17	5	1207.000000
18	5	1231.000000
19	5	1223.000000
20	5	1234.000000
21	5	1188.000000
22	5	1163.000000
23	5	1143.000000
24	5	1138.000000
25	5	1150.000000
26	5	1132.000000
27	5	1130.000000
28	5	1138.000000
29	5	1186.000000
30	5	1176.000000
31	5	1200.000000
32	5	1510.000000
1	6	1094.000000
2	6	1017.000000
3	6	1178.000000
4	6	1010.000000
5	6	1075.000000
6	6	1170.000000
7	6	1186.000000
8	6	1240.000000
9	6	1278.000000
10	6	881.000000
11	6	1243.000000
12	6	1273.000000
13	6	1250.000000
14	6	801.000000
15	6	1209.000000
16	6	1212.000000
17	6	1177.000000
18	6	1172.000000
19	6	1181.000000
20	6	1190.000000
21	6	1138.000000
22	6	1174.000000
23	6	1084.000000
24	6	1146.000000
25	6	1133.000000
26	6	1119.000000
27	6	1107.000000
28	6	1116.000000
29	6	1133.000000
30	6	1173.000000
31	6	1426.000000
32	6	1286.000000
1	7	1339.000000
2	7	1017.000000
3	7	1065.000000
4	7	1046.000000
5	7	1053.000000
6	7	1239.000000
7	7	1306.000000
8	7	1323.000000
9	7	1295.000000
10	7	930.000000
11	7	925.000000
12	7	904.000000
13	7	1252.000000
14	7	815.000000
15	7	790.000000
16	7	797.000000
17	7	1183.000000
18	7	1162.000000
19	7	1166.000000
20	7	1193.000000
21	7	1144.000000
22	7	1163.000000
23	7	1150.000000
24	7	1166.000000
25	7	1113.000000
26	7	1151.000000
27	7	1083.000000
28	7	1096.000000
29	7	1294.000000
30	7	1103.000000
31	7	1207.000000
32	7	1403.000000
1	8	1184.000000
2	8	1185.000000
3	8	1041.000000
4	8	1058.000000
5	8	1155.000000
6	8	1205.000000
7	8	1290.000000
8	8	1331.000000
9	8	907.000000
10	8	1328.000000
11	8	906.000000
12	8	919.000000
13	8	823.000000
14	8	1189.000000
15	8	816.000000
16	8	792.000000
17	8	1167.000000
18	8	1162.000000
19	8	1143.000000
20	8	1132.000000
21	8	1148.000000
22	8	1155.000000
23	8	1167.000000
24	8	1162.000000
25	8	1149.000000
26	8	1141.000000
27	8	1097.000000
28	8	1054.000000
29	8	1103.000000
30	8	1295.000000
31	8	1168.000000
32	8	1425.000000
1	9	1218.000000
2	9	986.000000
3	9	1010.000000
4	9	1237.000000
5	9	1148.000000
6	9	1221.000000
7	9	1254.000000
8	9	1250.000000
9	9	894.000000
10	9	1254.000000
11	9	1213.000000
12	9	1257.000000
13	9	807.000000
14	9	1159.000000
15	9	1181.000000
16	9	1141.000000
17	9	1164.000000
18	9	1173.000000
19	9	1145.000000
20	9	1161.000000
21	9	1146.000000
22	9	1165.000000
23	9	1145.000000
24	9	1121.000000
25	9	1155.000000
26	9	1160.000000
27	9	1153.000000
28	9	1093.000000
29	9	1121.000000
30	9	1079.000000
31	9	1117.000000
32	9	1599.000000
1	10	1157.000000
