row	column	size
1	1	1948.000000
2	1	1849.000000
3	1	1794.000000
4	1	2050.000000
5	1	1903.000000
6	1	1825.000000
7	1	1824.000000
8	1	2302.000000
9	1	1850.000000
10	1	1720.000000
11	1	1656.000000
12	1	2141.000000
13	1	1686.000000
14	1	1608.000000
15	1	1577.000000
16	1	1930.000000
17	1	1660.000000
18	1	1584.000000
19	1	1636.000000
20	1	0.000000
21	1	1687.000000
22	1	1550.000000
23	1	1524.000000
24	1	1736.000000
25	1	1540.000000
26	1	1503.000000
27	1	1494.000000
28	1	1679.000000
29	1	1537.000000
30	1	1504.000000
31	1	1524.000000
32	1	2081.000000
1	2	1847.000000
2	2	1555.000000
3	2	1443.000000
4	2	1771.000000
5	2	1552.000000
6	2	1542.000000
7	2	1557.000000
8	2	1926.000000
9	2	1660.000000
10	2	1575.000000
11	2	1532.000000
12	2	1910.000000
13	2	1536.000000
14	2	1498.000000
15	2	1481.000000
16	2	1835.000000
17	2	1547.000000
18	2	1494.000000
19	2	1569.000000
20	2	0.000000
21	2	1593.000000
22	2	1420.000000
23	2	1392.000000
24	2	1636.000000
25	2	1454.000000
26	2	1368.000000
27	2	1370.000000
28	2	1581.000000
29	2	1407.000000
30	2	1402.000000
31	2	1423.000000
32	2	1821.000000
1	3	2056.000000
2	3	1489.000000
3	3	1418.000000
4	3	1419.000000
5	3	1679.000000
6	3	1492.000000
7	3	1545.000000
8	3	1561.000000
9	3	1855.000000
10	3	1584.000000
11	3	1533.000000
12	3	1518.000000
13	3	1814.000000
14	3	1526.000000
15	3	1510.000000
16	3	1561.000000
17	3	0.000000
18	3	1545.000000
19	3	1479.000000
20	3	1533.000000
21	3	1732.000000
22	3	1439.000000
23	3	1432.000000
24	3	1419.000000
25	3	1589.000000
26	3	1431.000000
27	3	1401.000000
28	3	1389.000000
29	3	1554.000000
30	3	1417.000000
31	3	1487.000000
32	3	1609.000000
1	4	2025.000000
2	4	1438.000000
3	4	1399.000000
4	4	1383.000000
5	4	1602.000000
6	4	1484.000000
7	4	1504.000000
8	4	1539.000000
9	4	1826.000000
10	4	1522.000000
11	4	1507.000000
12	4	1520.000000
13	4	1785.000000
14	4	1440.000000
15	4	1460.000000
16	4	1530.000000
17	4	0.000000
18	4	1494.000000
19	4	1431.000000
20	4	1411.000000
21	4	1653.000000
22	4	1371.000000
23	4	1363.000000
24	4	1350.000000
25	4	1537.000000
26	4	1370.000000
27	4	1374.000000
28	4	1355.000000
29	4	1553.000000
30	4	1388.000000
31	4	1468.000000
32	4	1624.000000
1	5	1666.000000
2	5	1374.000000
3	5	1339.000000
4	5	1601.000000
5	5	1398.000000
6	5	1449.000000
7	5	1487.000000
8	5	1500.000000
9	5	1031.000000
10	5	1459.000000
11	5	1430.000000
12	5	1442.000000
13	5	832.000000
14	5	1406.000000
15	5	1376.000000
16	5	1315.000000
17	5	1381.000000
18	5	1342.000000
19	5	1318.000000
20	5	1316.000000
21	5	1323.000000
22	5	1283.000000
23	5	1291.000000
24	5	1196.000000
25	5	1278.000000
26	5	1299.000000
27	5	1282.000000
28	5	1253.000000
29	5	1355.000000
30	5	1304.000000
31	5	1389.000000
32	5	1822.000000
1	6	1723.000000
2	6	1374.000000
3	6	1326.000000
4	6	1622.000000
5	6	1469.000000
6	6	1453.000000
7	6	1424.000000
8	6	1441.000000
9	6	1002.000000
10	6	1443.000000
11	6	1418.000000
12	6	1455.000000
13	6	831.000000
14	6	1439.000000
15	6	1381.000000
16	6	1367.000000
17	6	1350.000000
18	6	1348.000000
19	6	1306.000000
20	6	1314.000000
21	6	1300.000000
22	6	1274.000000
23	6	1259.000000
