row	column	size
1	1	1949.000000
2	1	1835.000000
3	1	1790.000000
4	1	2066.000000
5	1	1872.000000
6	1	1820.000000
7	1	1807.000000
8	1	2305.000000
9	1	1849.000000
10	1	1715.000000
11	1	1658.000000
12	1	2135.000000
13	1	1691.000000
14	1	1591.000000
15	1	1574.000000
16	1	1894.000000
17	1	1654.000000
18	1	1567.000000
19	1	1636.000000
20	1	0.000000
21	1	1661.000000
22	1	1538.000000
23	1	1517.000000
24	1	1752.000000
25	1	1547.000000
26	1	1475.000000
27	1	1476.000000
28	1	1702.000000
29	1	1547.000000
30	1	1497.000000
31	1	1527.000000
32	1	2076.000000
1	2	1848.000000
2	2	1560.000000
3	2	1457.000000
4	2	1782.000000
5	2	1561.000000
6	2	1540.000000
7	2	1566.000000
8	2	1926.000000
9	2	1673.000000
10	2	1608.000000
11	2	1551.000000
12	2	1912.000000
13	2	1549.000000
14	2	1497.000000
15	2	1461.000000
16	2	1814.000000
17	2	1525.000000
18	2	1499.000000
19	2	1568.000000
20	2	0.000000
21	2	1578.000000
22	2	1428.000000
23	2	1409.000000
24	2	1649.000000
25	2	1455.000000
26	2	1362.000000
27	2	1348.000000
28	2	1584.000000
29	2	1426.000000
30	2	1390.000000
31	2	1420.000000
32	2	1824.000000
1	3	2033.000000
2	3	1493.000000
3	3	1414.000000
4	3	1411.000000
5	3	1677.000000
6	3	1501.000000
7	3	1544.000000
8	3	1565.000000
9	3	1853.000000
10	3	1563.000000
11	3	1527.000000
12	3	1520.000000
13	3	1824.000000
14	3	1522.000000
15	3	1525.000000
16	3	1561.000000
17	3	0.000000
18	3	1534.000000
19	3	1487.000000
20	3	1516.000000
21	3	1742.000000
22	3	1445.000000
23	3	1411.000000
24	3	1423.000000
25	3	1581.000000
26	3	1402.000000
27	3	1393.000000
28	3	1406.000000
29	3	1546.000000
30	3	1414.000000
31	3	1489.000000
32	3	1592.000000
1	4	2030.000000
2	4	1437.000000
3	4	1392.000000
4	4	1373.000000
5	4	1606.000000
6	4	1484.000000
7	4	1533.000000
8	4	1548.000000
9	4	1820.000000
10	4	1517.000000
11	4	1510.000000
12	4	1501.000000
13	4	1775.000000
14	4	1444.000000
15	4	1447.000000
16	4	1515.000000
17	4	0.000000
18	4	1509.000000
19	4	1425.000000
20	4	1417.000000
21	4	1681.000000
22	4	1375.000000
23	4	1368.000000
24	4	1376.000000
25	4	1558.000000
26	4	1370.000000
27	4	1372.000000
28	4	1365.000000
29	4	1556.000000
30	4	1394.000000
31	4	1475.000000
32	4	1614.000000
1	5	1659.000000
2	5	1387.000000
3	5	1294.000000
4	5	1586.000000
5	5	1394.000000
6	5	1448.000000
7	5	1475.000000
8	5	1499.000000
9	5	1035.000000
10	5	1443.000000
11	5	1428.000000
12	5	1433.000000
13	5	830.000000
14	5	1373.000000
15	5	1356.000000
16	5	1327.000000
17	5	1384.000000
18	5	1365.000000
19	5	1329.000000
20	5	1307.000000
21	5	1301.000000
22	5	1287.000000
23	5	1302.000000
24	5	1197.000000
25	5	1291.000000
26	5	1282.000000
27	5	1251.000000
28	5	1245.000000
29	5	1373.000000
30	5	1323.000000
31	5	1399.000000
32	5	1820.000000
1	6	1724.000000
2	6	1357.000000
3	6	1329.000000
4	6	1628.000000
5	6	1467.000000
6	6	1438.000000
7	6	1432.000000
8	6	1438.000000
9	6	1001.000000
10	6	1422.000000
11	6	1419.000000
12	6	1467.000000
13	6	817.000000
14	6	1425.000000
15	6	1382.000000
16	6	1354.000000
17	6	1346.000000
18	6	1344.000000
19	6	1313.000000
20	6	1308.000000
21	6	1287.000000
22	6	1274.000000
23	6	1258.000000
24	6	1194.000000
25	6	1274.000000
26	6	1272.000000
27	6	1259.000000
28	6	1265.000000
29	6	1324.000000
30	6	1297.000000
31	6	1388.000000
32	6	1862.000000
1	7	2023.000000
2	7	1450.000000
3	7	1395.000000
4	7	1393.000000
5	7	1369.000000
6	7	1516.000000
7	7	1473.000000
8	7	1475.000000
9	7	1433.000000
10	7	1015.000000
11	7	1014.000000
12	7	992.000000
13	7	1412.000000
14	7	805.000000
15	7	839.000000
16	7	783.000000
17	7	1362.000000
18	7	1324.000000
19	7	1293.000000
20	7	1278.000000
21	7	1215.000000
22	7	1285.000000
23	7	1277.000000
24	7	1296.000000
25	7	1264.000000
26	7	1278.000000
27	7	1251.000000
28	7	1232.000000
29	7	1568.000000
30	7	1401.000000
31	7	1469.000000
32	7	1678.000000
1	8	2067.000000
2	8	1472.000000
3	8	1420.000000
4	8	1431.000000
5	8	1389.000000
6	8	1519.000000
7	8	1473.000000
8	8	1453.000000
9	8	1445.000000
10	8	1026.000000
11	8	1005.000000
12	8	1006.000000
13	8	1409.000000
14	8	834.000000
15	8	793.000000
16	8	767.000000
17	8	1328.000000
18	8	1324.000000
19	8	1274.000000
20	8	1286.000000
21	8	1225.000000
22	8	1311.000000
23	8	1300.000000
24	8	1310.000000
25	8	1276.000000
26	8	1287.000000
27	8	1242.000000
28	8	1248.000000
29	8	1570.000000
30	8	1373.000000
31	8	1480.000000
32	8	1656.000000
1	9	1767.000000
2	9	1454.000000
3	9	1396.000000
4	9	1681.000000
5	9	1478.000000
6	9	1390.000000
7	9	1371.000000
8	9	1370.000000
9	9	973.000000
10	9	1414.000000
11	9	1424.000000
12	9	1473.000000
13	9	789.000000
14	9	1401.000000
15	9	1378.000000
16	9	1343.000000
17	9	1332.000000
18	9	1322.000000
19	9	1314.000000
20	9	1321.000000
21	9	1337.000000
22	9	1311.000000
23	9	1291.000000
24	9	1224.000000
25	9	1296.000000
26	9	1290.000000
27	9	1271.000000
28	9	1237.000000
29	9	1348.000000
30	9	1284.000000
31	9	1396.000000
32	9	1872.000000
1	10	1768.000000
2	10	1489.000000
3	10	1409.000000
4	10	1670.000000
5	10	1490.000000
6	10	1399.000000
7	10	1355.000000
8	10	1353.000000
9	10	943.000000
10	10	1436.000000
11	10	1395.000000
12	10	1488.000000
13	10	780.000000
14	10	1423.000000
15	10	1398.000000
16	10	1342.000000
17	10	1348.000000
18	10	1327.000000
19	10	1325.000000
20	10	1309.000000
21	10	1336.000000
22	10	1318.000000
23	10	1278.000000
24	10	1234.000000
25	10	1257.000000
26	10	1298.000000
27	10	1265.000000
28	10	1266.000000
29	10	1337.000000
30	10	1325.000000
31	10	1370.000000
32	10	1910.000000
1	11	2094.000000
2	11	1565.000000
3	11	1526.000000
4	11	1528.000000
5	11	1387.000000
6	11	1477.000000
7	11	1438.000000
8	11	1435.000000
9	11	1406.000000
10	11	1008.000000
11	11	1000.000000
12	11	974.000000
13	11	1407.000000
14	11	811.000000
15	11	788.000000
16	11	777.000000
17	11	1395.000000
18	11	1357.000000
19	11	1319.000000
20	11	1310.000000
21	11	1263.000000
22	11	1313.000000
23	11	1313.000000
24	11	1282.000000
25	11	1276.000000
26	11	1303.000000
27	11	1252.000000
28	11	1267.000000
29	11	1557.000000
30	11	1386.000000
31	11	1484.000000
32	11	1648.000000
1	12	2096.000000
2	12	1618.000000
3	12	1534.000000
4	12	1517.000000
5	12	1332.000000
6	12	1459.000000
7	12	1434.000000
8	12	1441.000000
9	12	1386.000000
10	12	998.000000
11	12	964.000000
12	12	982.000000
13	12	1421.000000
14	12	851.000000
15	12	777.000000
16	12	802.000000
17	12	1404.000000
18	12	1355.000000
19	12	1297.000000
20	12	1313.000000
21	12	1240.000000
22	12	1318.000000
23	12	1279.000000
24	12	1292.000000
25	12	1236.000000
26	12	1261.000000
27	12	1264.000000
28	12	1252.000000
29	12	1585.000000
30	12	1388.000000
31	12	1531.000000
32	12	1763.000000
1	13	1757.000000
2	13	1526.000000
3	13	1438.000000
4	13	1669.000000
5	13	1446.000000
6	13	1351.000000
7	13	1367.000000
8	13	1351.000000
9	13	965.000000
10	13	1412.000000
11	13	1404.000000
12	13	1505.000000
13	13	893.000000
14	13	1453.000000
15	13	1432.000000
16	13	1359.000000
17	13	1362.000000
18	13	1316.000000
19	13	1296.000000
20	13	1313.000000
21	13	1292.000000
22	13	1303.000000
23	13	1289.000000
24	13	1218.000000
25	13	1289.000000
26	13	1288.000000
27	13	1261.000000
28	13	1261.000000
29	13	1405.000000
30	13	1361.000000
31	13	1546.000000
32	13	0.000000
1	14	1710.000000
2	14	1488.000000
3	14	1379.000000
4	14	1656.000000
5	14	1438.000000
6	14	1335.000000
7	14	1341.000000
8	14	1366.000000
9	14	951.000000
10	14	1401.000000
11	14	1439.000000
12	14	1487.000000
13	14	875.000000
14	14	1465.000000
15	14	1431.000000
16	14	1354.000000
17	14	1333.000000
18	14	1334.000000
19	14	1323.000000
20	14	1310.000000
21	14	1289.000000
22	14	1291.000000
23	14	1286.000000
24	14	1227.000000
25	14	1273.000000
26	14	1270.000000
27	14	1277.000000
28	14	1313.000000
29	14	1443.000000
30	14	1358.000000
31	14	1543.000000
32	14	0.000000
1	15	2061.000000
2	15	1525.000000
3	15	1444.000000
4	15	1417.000000
5	15	1278.000000
6	15	1424.000000
7	15	1413.000000
8	15	1470.000000
9	15	1462.000000
10	15	963.000000
11	15	996.000000
12	15	977.000000
13	15	1436.000000
14	15	933.000000
15	15	891.000000
16	15	823.000000
17	15	1397.000000
18	15	1330.000000
19	15	1306.000000
20	15	1273.000000
21	15	1245.000000
22	15	1282.000000
23	15	1305.000000
24	15	1306.000000
25	15	1244.000000
26	15	1264.000000
27	15	1271.000000
28	15	1386.000000
29	15	0.000000
30	15	1491.000000
31	15	1542.000000
32	15	1760.000000
1	16	2033.000000
2	16	1482.000000
3	16	1431.000000
4	16	1434.000000
5	16	1266.000000
6	16	1448.000000
7	16	1438.000000
8	16	1469.000000
9	16	1423.000000
10	16	985.000000
11	16	1002.000000
12	16	1015.000000
13	16	1451.000000
14	16	933.000000
15	16	901.000000
16	16	836.000000
17	16	1391.000000
18	16	1321.000000
19	16	1333.000000
20	16	1324.000000
21	16	1275.000000
22	16	1272.000000
23	16	1300.000000
24	16	1273.000000
25	16	1231.000000
26	16	1270.000000
27	16	1251.000000
28	16	1373.000000
29	16	0.000000
30	16	1459.000000
31	16	1503.000000
32	16	1672.000000
1	17	1723.000000
2	17	1442.000000
3	17	1361.000000
4	17	1616.000000
5	17	1419.000000
6	17	1340.000000
