row	column	size
1	1	1841.000000
2	1	1635.000000
3	1	1652.000000
4	1	2042.000000
5	1	1780.000000
6	1	1741.000000
7	1	1773.000000
8	1	2172.000000
9	1	1911.000000
10	1	1850.000000
11	1	1812.000000
12	1	2236.000000
13	1	1948.000000
14	1	1855.000000
15	1	1854.000000
16	1	2329.000000
17	1	1932.000000
18	1	1885.000000
19	1	1826.000000
20	1	0.000000
21	1	1809.000000
22	1	1659.000000
23	1	1585.000000
24	1	2048.000000
25	1	1667.000000
26	1	1648.000000
27	1	1582.000000
28	1	1943.000000
29	1	1581.000000
30	1	1532.000000
31	1	1565.000000
32	1	2103.000000
1	2	1620.000000
2	2	1567.000000
3	2	1781.000000
4	2	1437.000000
5	2	1438.000000
6	2	1552.000000
7	2	1721.000000
8	2	1494.000000
9	2	1543.000000
10	2	1615.000000
11	2	1920.000000
12	2	1567.000000
13	2	1602.000000
14	2	1675.000000
15	2	1989.000000
16	2	1677.000000
17	2	1684.000000
18	2	1805.000000
19	2	0.000000
20	2	1787.000000
21	2	1645.000000
22	2	1646.000000
23	2	1942.000000
24	2	1525.000000
25	2	1465.000000
26	2	1538.000000
27	2	1836.000000
28	2	1401.000000
29	2	1386.000000
30	2	1480.000000
31	2	1830.000000
32	2	1549.000000
1	3	2006.000000
2	3	1409.000000
3	3	1457.000000
4	3	1444.000000
5	3	1674.000000
6	3	1431.000000
7	3	1488.000000
8	3	1492.000000
9	3	1756.000000
10	3	1576.000000
11	3	1579.000000
12	3	1612.000000
13	3	1865.000000
14	3	1614.000000
15	3	1628.000000
16	3	1709.000000
17	3	0.000000
18	3	1746.000000
19	3	1722.000000
20	3	1634.000000
21	3	1884.000000
22	3	1537.000000
23	3	1486.000000
24	3	1510.000000
25	3	1771.000000
26	3	1441.000000
27	3	1426.000000
28	3	1453.000000
29	3	1748.000000
30	3	1465.000000
31	3	1509.000000
32	3	1611.000000
1	4	1638.000000
2	4	1679.000000
3	4	1365.000000
4	4	1391.000000
5	4	1365.000000
6	4	1655.000000
7	4	1454.000000
8	4	1503.000000
9	4	1575.000000
10	4	1793.000000
11	4	1577.000000
12	4	1572.000000
13	4	1574.000000
14	4	1858.000000
15	4	1609.000000
16	4	1591.000000
17	4	1676.000000
18	4	0.000000
19	4	1620.000000
20	4	1569.000000
21	4	1516.000000
22	4	1813.000000
23	4	1443.000000
24	4	1463.000000
25	4	1450.000000
26	4	1767.000000
27	4	1441.000000
28	4	1447.000000
29	4	1421.000000
30	4	1795.000000
31	4	1476.000000
32	4	1657.000000
1	5	1611.000000
2	5	1335.000000
3	5	1306.000000
4	5	1590.000000
5	5	1398.000000
6	5	1411.000000
7	5	1443.000000
8	5	1502.000000
9	5	1110.000000
10	5	1537.000000
11	5	1529.000000
12	5	1551.000000
13	5	990.000000
14	5	1537.000000
15	5	1523.000000
16	5	1467.000000
17	5	1445.000000
18	5	1507.000000
19	5	1508.000000
20	5	1485.000000
21	5	1424.000000
22	5	1414.000000
23	5	1380.000000
24	5	1335.000000
25	5	1401.000000
26	5	1389.000000
27	5	1389.000000
28	5	1357.000000
29	5	1453.000000
