row	column	size
1	1	1954.000000
2	1	1824.000000
3	1	1767.000000
4	1	2065.000000
5	1	1912.000000
6	1	1814.000000
7	1	1823.000000
8	1	2310.000000
9	1	1854.000000
10	1	1705.000000
11	1	1651.000000
12	1	2164.000000
13	1	1692.000000
14	1	1606.000000
15	1	1561.000000
16	1	1916.000000
17	1	1673.000000
18	1	1588.000000
19	1	1639.000000
20	1	0.000000
21	1	1670.000000
22	1	1559.000000
23	1	1515.000000
24	1	1737.000000
25	1	1552.000000
26	1	1480.000000
27	1	1490.000000
28	1	1694.000000
29	1	1539.000000
30	1	1514.000000
31	1	1511.000000
32	1	2068.000000
1	2	1839.000000
2	2	1543.000000
3	2	1479.000000
4	2	1785.000000
5	2	1547.000000
6	2	1542.000000
7	2	1562.000000
8	2	1907.000000
9	2	1668.000000
10	2	1588.000000
11	2	1559.000000
12	2	1914.000000
13	2	1547.000000
14	2	1494.000000
15	2	1481.000000
16	2	1831.000000
17	2	1545.000000
18	2	1503.000000
19	2	1556.000000
20	2	0.000000
21	2	1595.000000
22	2	1409.000000
23	2	1417.000000
24	2	1649.000000
25	2	1453.000000
26	2	1382.000000
27	2	1387.000000
28	2	1582.000000
29	2	1412.000000
30	2	1385.000000
31	2	1418.000000
32	2	1821.000000
1	3	2040.000000
2	3	1486.000000
3	3	1404.000000
4	3	1435.000000
5	3	1701.000000
6	3	1501.000000
7	3	1549.000000
8	3	1562.000000
9	3	1829.000000
10	3	1560.000000
11	3	1531.000000
12	3	1507.000000
13	3	1827.000000
14	3	1515.000000
15	3	1500.000000
16	3	1544.000000
17	3	0.000000
18	3	1545.000000
19	3	1486.000000
20	3	1513.000000
21	3	1743.000000
22	3	1436.000000
23	3	1420.000000
24	3	1428.000000
25	3	1565.000000
26	3	1421.000000
27	3	1405.000000
28	3	1391.000000
29	3	1548.000000
30	3	1405.000000
31	3	1495.000000
32	3	1599.000000
1	4	2024.000000
2	4	1449.000000
3	4	1392.000000
4	4	1386.000000
5	4	1583.000000
6	4	1481.000000
7	4	1515.000000
8	4	1548.000000
9	4	1831.000000
10	4	1517.000000
11	4	1531.000000
12	4	1509.000000
13	4	1799.000000
14	4	1465.000000
15	4	1444.000000
